	Titles	Ratings	Battery Capacity
0	Redmi 8 (Sapphire Blue, 64 GB)	4.4	5000
1	Redmi 8 (Onyx Black, 64 GB)	4.4	5000
2	Redmi 8 (Emerald Green, 64 GB)	4.4	5000
3	Redmi 8 (Ruby Red, 64 GB)	4.4	5000
4	Realme 5s (Crystal Blue, 64 GB)	4.4	5000
5	Apple iPhone 7 (Black, 32 GB)	4.5	5000
6	Realme 5s (Crystal Blue, 128 GB)	4.4	4000
7	Realme C2 (Diamond Ruby, 32 GB)	4.3	4000
8	Realme C2 (Diamond Blue, 32 GB)	4.4	4000
9	Realme C2 (Diamond Black, 32 GB)	4.4	4000
10	Realme C2 (Diamond Sapphire, 32 GB)	4.3	5000
11	Realme 5s (Crystal Purple, 128 GB)	4.4	5000
12	Infinix Hot 8 (Shark Grey, 64 GB)	4.5	3000
13	I Kall K900 (Sky Blue, 64 GB)	4.4	5000
14	Realme 5s (Crystal Purple, 64 GB)	4.5	4000
15	Redmi Note 7 Pro (Neptune Blue, 64 GB)	4.3	4000
16	Realme C2 (Diamond Blue, 32 GB)	4.4	5000
17	Redmi 8A (Ocean Blue, 32 GB)	4.5	2800
18	Apple iPhone 7 (Rose Gold, 32 GB)	3.6	5000
19	I Kall K9 (Blue, 16 GB)	4.5	5000
20	Infinix Hot 8 (Quetzal Cyan, 64 GB)	4.5	4000
21	Infinix Hot 8 (Cosmic Purple, 64 GB)	4.3	3000
